equipo,decision,opcion,alternativas,justificacion,momento
bogota-equipo08,Fuente de masa corporal,"Se optó por muestrear aleatoriamente la masa dentro del rango reportado para hembras ('Female MinMass'-'Female MaxMass'), utilizando una distribución normal truncada con la función ""rtnorm"".",Usar directamente Average Mass; imputar a partir de los límites de machos o de individuos sin sexar; promediar los límites de ambos sexos,"Se generaron 10 sorteos independientes mediante rtnorm con el fin de dejar abierta la posibilidad de propagar la incertidumbre de la imputación en un análisis posterior (de manera análoga a lo realizado con los 100 árboles), aunque en el presente análisis únicamente se empleó el primer sorteo.",antes
bogota-equipo08,Transformación de la masa,Se decidió transformar la masa mediante raíz cúbica.,Logaritmo natural; sin transformar,"Se prefirió esta transformación porque conserva la relación conocida entre masa y volumen corporal en aves, a diferencia del logaritmo.",antes
bogota-equipo08,Resumen de la altitud,Se empleó la altitud normal máxima (NormMax).,NormMin sola; punto medio de NormMin/NormMax; Xmin/Xmax,"Se recurrió al valor máximo debido a que, en aves pequeñas como los colibríes, la densidad del aire resulta determinante para el costo energético del vuelo: a mayor altitud de vida, mayor el costo de volar.",antes
bogota-equipo08,Especies con límites codificados como letra,No se aplicó ningún paso de limpieza adicional.,"Convertir L, F y M al punto medio del intervalo","La columna NormMax empleada aquí no presentaba códigos de letra (L, F, M), por lo que no fue necesario convertir ni imputar valores en este paso.",antes
bogota-equipo08,Especies con masa o altitud faltante,Se imputaron las masas faltantes tomando como referencia los valores encontrados para otras especies del mismo género. No hubo especies con altitud faltante.,Eliminación por caso completo; imputación filogenética (p. ej. phylopars),"Se completaron los valores faltantes de masa, en lugar de descartar esas especies, porque el análisis requería contar con un valor de masa para la totalidad de las especies incluidas antes de proseguir. No hubo especies con altitud faltante, por lo que este criterio no representó ninguna exclusión adicional.",antes
bogota-equipo08,Árbol filogenético,"Se utilizó una muestra de árboles específicos para las especies del estudio, descargados de BirdTree (Jetz et al. 2012)","Un árbol de consenso de una publicación específica (p. ej. McGuire et al. 2014); otra fuente de árboles, como una distribución posterior vía rtrees","La elección de Jetz et al. 2012 frente a las otras dos fuentes disponibles en el curso (McTavish et al. 2025 y McGuire et al. 2014) fue arbitraria. Se verificó, previo a continuar, que los 100 árboles descargados compartieran exactamente el mismo conjunto de especies entre sí.",antes
bogota-equipo08,Número de árboles,Se decidió trabajar con 100 árboles (objeto multiPhylo) en lugar de uno solo.,Un solo árbol de consenso,"Se optó por una muestra de 100 árboles porque permite representar la incertidumbre filogenética (cuánto varía la relación masa-altitud según el árbol), en vez de tratarla como si un único árbol reflejara la verdad, el modelo se ajustó en cada uno de los 100 árboles y se reportó cuántos de ellos favorecían cada estructura de correlación.",antes
bogota-equipo08,Politomías,"Se resolvieron al azar mediante multi2di, árbol por árbol.",Dejarlas sin resolver; resolverlas asignándoles longitud de rama cero,"Se resolvieron las politomías porque los modelos gls con corBrownian/corMartins requieren árboles binarios. Dado que is.binary/multi2di carecen de un método directo para objetos multiPhylo en todas las versiones de ape, se recorrió el objeto árbol por árbol mediante lapply/sapply.",después
bogota-equipo08,Ramas de longitud cero,Se reemplazaron por 1e-8.,Colapsar los nodos; sumar una constante a todas las ramas,El ajuste de los modelos fallaba en presencia de ramas de longitud cero.,después
bogota-equipo08,Emparejamiento de nombres,Se empleó coincidencia exacta tras sustituir los espacios por guiones bajos en el nombre científico.,Sinonimia manual con una lista de referencia; búsqueda difusa (agrep),"Se prefirió la coincidencia exacta por ser reproducible y no introducir juicios subjetivos. Se utilizó el primer árbol como referencia única para calcular la intersección y la diferencia de nombres, dado que los 100 árboles comparten el mismo conjunto de puntas.",antes
bogota-equipo08,Modelo,"Se empleó gls con selección por AIC entre un modelo Browniano (corBrownian) y un modelo OU (corMartins), ajustado de manera independiente en cada uno de los 100 árboles, sin incorporar error de medición explícito.",Un único modelo Browniano para todos los árboles; un único modelo OU para todos los árboles; modelo mixto filogenético,"Se ajustaron ambos modelos en cada árbol y se conservó el de menor AIC, con el fin de evitar imponer a priori una forma particular de evolución y de poder reportar cuántos de los 100 árboles favorecían cada uno. Cada modelo se ajustó mediante un tryCatch independiente, dado que corMartins es numéricamente inestable y puede fallar en un árbol donde el Browniano sí converge adecuadamente, para el ajuste de corMartins se probó además una serie de valores iniciales de alpha (1, 0.1, 0.01, 0.001, 5, 10), ya que la escala apropiada varía entre árboles. Como resultado, el modelo OU convergió en 91 de los 100 árboles, empleándose el modelo Browniano como respaldo en dichos casos.",antes
bogota-equipo08,Error de medición,Se decidió no incorporarlo.,Incorporar el rango reportado de masa (Female MinMass/MaxMass) como varianza intraespecífica en el modelo,"BirdBase no reporta tamaños de muestra por especie, así que no fue posible convertir el rango de masa en un error estándar defendible.",antes
