equipo,decision,opcion,alternativas,justificacion,momento
barranquilla-equipo05,Fuente de masa corporal,Average Mass,Male MinMass y Male MaxMass; promedio de machos y hembras por separado; punto medio de Unsexed MinMass y Unsexed MaxMass,"No suelen haber diferencias entre machos y hembras de trochiilidae, por lo que el promedio de los dos es un buen indicador de la masa corporal",antes
barranquilla-equipo05,Transformación de la masa,Logaritmo natural,Sin transformar; raíz cuadrada,"Al observar los histogramas de las tres opciones, la transformación de logaritmo aparenta ser la mas normal",antes
barranquilla-equipo05,Resumen de la altitud,Punto medio de NormMin y NormMax,NormMin sola; NormMax sola; punto medio de Xmin y Xmax; Elevational Range,Es un buen indicador del punto medio donde puede habitar la especie,antes
barranquilla-equipo05,Especies con límites codificados como letra,Descartar,imputar con el promedio del género; tratarlas como variable categórica,El rango de las letras produce incertidumbre sobre el valor real,antes
barranquilla-equipo05,Especies con masa o altitud faltante,Eliminación,Imputación por género; imputación filogenética con phylopars,Preferimos tener menos datos a realizar un promedio de imputación,antes
barranquilla-equipo05,Árbol filogenético,McGuire et al. 2014,Distribución posterior de Jetz et al. 2012 vía rtrees; megatree de McTavish et al. 2025,Es específico para Trochilidae por lo que produce más confiabilidad.,antes
barranquilla-equipo05,Número de árboles,Uno solo,Muestra de 100 árboles de la posterior,El árbol de McGuire es un solo árbol de consenso.,antes
barranquilla-equipo05,Politomías,Resolución al azar con multi2di,Dejarlas; resolverlas con longitud de rama cero,Los metodos requieren un arbol resuelto.,antes
barranquilla-equipo05,Ramas de longitud cero,Reemplazo por 1e-8,Colapsarlas; sumar una constante a todas las ramas,Reemplazamos por un valor cercano a 0 para no tener que alterar tanto el arbol,antes
barranquilla-equipo05,Emparejamiento de nombres,Coincidencia exacta tras cambiar espacios por guiones bajos,Sinonimia manual con la lista del IOC; búsqueda difusa con agrep,Permite tener un proceso estandarizado.,antes
barranquilla-equipo05,Modelo,,,,
barranquilla-equipo05,Error de medición,,,,
